EmpID,LastName,FirstName,TeamCode,PosCode,PlayerNo,Age,Weight,Height,YearsOfExp,College
45466,Ibrahim,Mohamed,DTL,RB,33,23,203,68,0,Minnesota
89442,Reid,Justin,KCC,S,20,26,207,73,6,Stanford
23585,Barnes,Krys,AZC,LB,56,25,229,74,4,UCLA
52404,Hector,Bruce,NYJ,DT,69,28,296,74,3,South Florida
19160,Long Jr.,David,MMD,LB,51,26,227,71,5,West Virginia
71333,Vorhees,Andrew,BLR,G,72,24,310,78,0,USC
78637,Eguavoen,Sam,NYJ,LB,52,30,236,72,5,Texas Tech
68255,Smith,Shi,CAP,WR,12,24,190,70,3,South Carolina
64103,Chrisman,Drue,CNB,P,4,26,211,75,2,Ohio State
74813,Dexter Sr.,Gervon,CHB,DT,98,21,312,78,0,Florida
11756,Howard,Xavien,MMD,CB,25,30,203,73,8,Baylor
13307,Domann,JoJo,INC,LB,57,26,230,73,2,Nebraska
47718,Thomas,Drake,LVR,LB,57,23,223,71,0,NC State
54270,Cole,Dylan,CHB,LB,55,29,237,72,7,Missouri State
73871,Jarrett,Grady,ATF,DE,97,30,305,72,9,Clemson
82248,Jefferson,Justin,MNV,WR,18,24,195,73,4,LSU
36978,Bellinger,Daniel,NYG,TE,82,22,253,77,2,San Diego State
64868,Frye,Adrian,NOS,CB,44,24,205,72,0,Texas Tech
57640,Zuerlein,Greg,NYJ,K,9,35,187,72,12,Missouri Western
33847,Tarlas,George,LVR,DE,79,24,253,75,0,Boise State
40216,Roberts,Elandon,PTS,LB,50,29,238,73,8,Houston
14812,Jones,Robert,MMD,G,65,24,334,76,3,Middle Tennessee
35708,Vannett,Nick,HST,TE,34,30,257,77,8,Ohio State
13665,Banks,Deonte,NYG,CB,36,22,205,74,0,Maryland
46507,Chisena,Dan,PTS,WR,85,26,203,75,3,Penn State
47689,Smith,Tyler,DLC,OT,73,22,332,78,2,Tulsa
71883,Hilton,Mike,CNB,CB,21,29,184,69,7,Ole Miss
50459,Cager,Lawrence,NYG,TE,83,26,220,77,3,Georgia
78184,Homer,Travis,CHB,RB,20,25,202,70,5,Miami
86371,Sherfield,Trent,BFB,WR,16,27,219,73,6,Vanderbilt
32718,Zylstra,Shane,DTL,TE,84,26,240,76,2,Minnesota State Mankato
41960,Thompkins,Deven,TBB,WR,83,23,155,68,2,Utah State
20816,Miles,Joshua,ATF,OT,66,27,314,77,5,Morgan State
16138,Penny,Rashaad,PHE,RB,23,27,220,71,6,San Diego State
11191,Williams,Dorian,BFB,LB,42,22,225,74,0,Tulane
47368,Pili,Brandon,MMD,DT,96,24,316,75,0,USC
33825,Robinson,Jammie,CAP,S,22,22,203,71,0,Florida State
94450,Herron,Justin,LVR,OT,71,27,290,77,4,Wake Forest
36008,Smith,Cam,MMD,CB,24,22,180,73,0,South Carolina
68259,Hyder Jr.,Kerry,SFN,DE,92,32,275,74,8,Texas Tech
51572,Mustipher,Sam,BLR,C,61,27,332,74,4,Notre Dame
81549,Horn,Jaycee,CAP,CB,8,23,200,73,3,South Carolina
61342,Ehlinger,Sam,INC,QB,4,24,225,74,3,Texas
41990,Lacy,Tyler,JKJ,DE,93,23,285,76,0,Oklahoma State
21627,Ojomo,Moro,PHE,DT,72,22,292,75,0,Texas
20420,Watt,T.J.,PTS,LB,90,28,252,76,7,Wisconsin
11449,Skipper,Dan,INC,OT,74,28,330,81,4,Arkansas
46210,Beavers,Darrian,NYG,LB,43,24,255,76,2,Cincinnati
82717,Granderson,Carl,NOS,DE,96,26,261,77,5,Wyoming
72244,Jackson,Antwuan,CAP,DE,69,25,300,74,0,Ohio State
